Rank,Title,Year
1,The Shawshank Redemption,1994
2,The Godfather,1972
3,The Dark Knight,2008
4,The Godfather Part II,1974
5,12 Angry Men,1957
6,The Lord of the Rings: The Return of the King,2003
7,Schindler's List,1993
8,The Lord of the Rings: The Fellowship of the Ring,2001
9,Pulp Fiction,1994
10,"The Good, the Bad and the Ugly",1966
11,The Lord of the Rings: The Two Towers,2002
12,Forrest Gump,1994
13,Fight Club,1999
14,Inception,2010
15,Star Wars: Episode V - The Empire Strikes Back,1980
16,The Matrix,1999
17,Goodfellas,1990
18,Interstellar,2014
19,One Flew Over the Cuckoo's Nest,1975
20,Se7en,1995
21,It's a Wonderful Life,1946
22,The Silence of the Lambs,1991
23,Seven Samurai,1954
24,Saving Private Ryan,1998
25,The Green Mile,1999
26,City of God,2002
27,Life Is Beautiful,1997
28,Terminator 2: Judgment Day,1991
29,Star Wars: Episode IV - A New Hope,1977
30,Back to the Future,1985
31,Spirited Away,2001
32,The Pianist,2002
33,Gladiator,2000
34,Parasite,2019
35,Grave of the Fireflies,1988
36,Psycho,1960
37,The Lion King,1994
38,Harakiri,1962
39,The Departed,2006
40,Whiplash,2014
41,The Prestige,2006
42,American History X,1998
43,Léon: The Professional,1994
44,Spider-Man: Across the Spider-Verse,2023
45,Cinema Paradiso,1988
46,Casablanca,1942
47,The Intouchables,2011
48,The Usual Suspects,1995
49,Alien,1979
50,Django Unchained,2012
51,Modern Times,1936
52,Rear Window,1954
53,Once Upon a Time in the West,1968
54,City Lights,1931
55,Apocalypse Now,1979
56,WALL·E,2008
57,Memento,2000
58,Dune: Part Two,2024
59,Raiders of the Lost Ark,1981
60,Avengers: Infinity War,2018
61,The Lives of Others,2006
62,Spider-Man: Into the Spider-Verse,2018
63,Sunset Boulevard,1950
64,Witness for the Prosecution,1957
65,Paths of Glory,1957
66,The Shining,1980
67,The Great Dictator,1940
68,Inglourious Basterds,2009
69,12th Fail,2023
70,Aliens,1986
71,High and Low,1963
72,The Dark Knight Rises,2012
73,Avengers: Endgame,2019
74,Good Will Hunting,1997
75,Coco,2017
76,Amadeus,1984
77,Toy Story,1995
78,Your Name.,2016
79,Das Boot,1981
80,Oldboy,2003
81,Braveheart,1995
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
83,Princess Mononoke,1997
84,3 Idiots,2009
85,American Beauty,1999
86,Capernaum,2018
87,Singin' in the Rain,1952
88,Joker,2019
89,Once Upon a Time in America,1984
90,Come and See,1985
91,Star Wars: Episode VI - Return of the Jedi,1983
92,Requiem for a Dream,2000
93,Toy Story 3,2010
94,Ikiru,1952
95,The Hunt,2012
96,Incendies,2010
97,Eternal Sunshine of the Spotless Mind,2004
98,The Apartment,1960
99,Lawrence of Arabia,1962
100,2001: A Space Odyssey,1968
101,Reservoir Dogs,1992
102,Heat,1995
103,Scarface,1983
104,Double Indemnity,1944
105,Up,2009
106,North by Northwest,1959
107,Like Stars on Earth,2007
108,Full Metal Jacket,1987
109,M,1931
110,Citizen Kane,1941
111,Amélie,2001
112,Vertigo,1958
113,A Separation,2011
114,Die Hard,1988
115,To Kill a Mockingbird,1962
116,The Sting,1973
117,Indiana Jones and the Last Crusade,1989
118,A Clockwork Orange,1971
119,Metropolis,1927
120,1917,2019
121,Snatch,2000
122,L.A. Confidential,1997
123,Downfall,2004
124,The Wolf of Wall Street,2013
125,Dangal,2016
126,Bicycle Thieves,1948
127,The Truman Show,1998
128,Oppenheimer,2023
129,Green Book,2018
130,Shutter Island,2010
131,Judgment at Nuremberg,1961
132,Batman Begins,2005
133,Hamilton,2020
134,For a Few Dollars More,1965
135,Taxi Driver,1976
136,Jurassic Park,1993
137,Some Like It Hot,1959
138,There Will Be Blood,2007
139,The Kid,1921
140,The Father,2020
141,All About Eve,1950
142,The Sixth Sense,1999
143,Ran,1985
144,Casino,1995
145,No Country for Old Men,2007
146,The Thing,1982
147,Top Gun: Maverick,2022
148,Prisoners,2013
149,Kill Bill: Vol. 1,2003
150,Pan's Labyrinth,2006
151,Unforgiven,1992
152,A Beautiful Mind,2001
153,The Treasure of the Sierra Madre,1948
154,Howl's Moving Castle,2004
155,Finding Nemo,2003
156,Yojimbo,1961
157,Klaus,2019
158,The Great Escape,1963
159,The Elephant Man,1980
160,Monty Python and the Holy Grail,1975
161,The Best of Youth,2003
162,Dial M for Murder,1954
163,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025
164,Gone with the Wind,1939
165,The Secret in Their Eyes,2009
166,Chinatown,1974
167,"Lock, Stock and Two Smoking Barrels",1998
168,V for Vendetta,2005
169,The Chaos Class Failed the Class,1975
170,Catch Me If You Can,2002
171,Inside Out,2015
172,Rashomon,1950
173,"Three Billboards Outside Ebbing, Missouri",2017
174,Trainspotting,1996
175,The Bridge on the River Kwai,1957
176,Harry Potter and the Deathly Hallows: Part 2,2011
177,Dead Poets Society,1989
178,The Wild Robot,2024
179,Warrior,2011
180,Fargo,1996
181,Barry Lyndon,1975
182,Raging Bull,1980
183,Ben-Hur,1959
184,Million Dollar Baby,2004
185,Mad Max: Fury Road,2015
186,Children of Heaven,1997
187,Hacksaw Ridge,2016
188,Gran Torino,2008
189,My Neighbor Totoro,1988
190,12 Years a Slave,2013
191,The Grand Budapest Hotel,2014
192,Ratatouille,2007
193,Before Sunrise,1995
194,Blade Runner,1982
195,Memories of Murder,2003
196,How to Train Your Dragon,2010
197,Spider-Man: No Way Home,2021
198,Gone Girl,2014
199,"Monsters, Inc.",2001
200,Jaws,1975
201,In the Name of the Father,1993
202,Ford v Ferrari,2019
203,Wild Tales,2014
204,The Gold Rush,1925
205,Mary and Max,2009
206,Sherlock Jr.,1924
207,The Deer Hunter,1978
208,The Wages of Fear,1953
209,The General,1926
210,Logan,2017
211,Rocky,1976
212,Mr. Smith Goes to Washington,1939
213,On the Waterfront,1954
214,Tokyo Story,1953
215,Pirates of the Caribbean: The Curse of the Black Pearl,2003
216,Wild Strawberries,1957
217,Spotlight,2015
218,La haine,1995
219,A Silent Voice: The Movie,2016
220,The Third Man,1949
221,The Terminator,1984
222,Maharaja,2024
223,The Sound of Music,1965
224,Jai Bhim,2021
225,The Big Lebowski,1998
226,The Best Years of Our Lives,1946
227,The Seventh Seal,1957
228,Room,2015
229,Before Sunset,2004
230,Hotel Rwanda,2004
231,Chainsaw Man - The Movie: Reze Arc,2025
232,Platoon,1986
233,The Incredibles,2004
234,Hachi: A Dog's Tale,2009
235,The Exorcist,1973
236,Rush,2013
237,The Wizard of Oz,1939
238,Stand by Me,1986
239,The Iron Giant,1999
240,The Passion of Joan of Arc,1928
241,My Father and My Son,2005
242,The Battle of Algiers,1966
243,The Handmaiden,2016
244,Network,1976
245,To Be or Not to Be,1942
246,Gangs of Wasseypur,2012
247,Drishyam,2015
248,The Grapes of Wrath,1940
249,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020
250,The Help,2011
